Scheme;ESTRATO_TECNICO;ESTRATO_RIM
port;IEO_P1_M_NEAFC;BACA_AC
port;IEO_P1_M_NEAFC;BACA_APN
port;IEO_P1_M_CN;BACA_CN
port;IEO_P1_M_CN;JURELERA_CN
port;IEO_P1_M_CN;BETA_CN
port;IEO_P1_M_CN;TRASMALL_CN
port;IEO_P1_M_CN;CERCO_CN
port;IEO_P1_M_CN;LIN_CABALLA
port;IEO_P1_M_NEAFC;MERLUCER_AC
port;IEO_P1_M_NEAFC;ENMALLE_AC
port;IEO_P1_M_GC;ENMALLE_GC
port;IEO_P1_M_GC;TRASMALL_GC
port;IEO_P1_M_CN;NASAPULP_CN
port;IEO_P1_M_NEAFC;PALANGRE_AC
port;IEO_P1_M_CN;PALANGRE_CN
port;IEO_P1_M_CN;PAREJA_CN
port;IEO_P1_M_NEAFC;RAPANTER_AC
port;IEO_P1_M_CN;RASCO_CN
port;IEO_P1_M_GC;SABLE_GC
port;IEO_P1_M_CN;VOLANTA_CN
port;IEO_P1_M_GC;VORACERA_GC
port;IEO_P1_M_GC;PALANGRE_GC
port;IEO_P1_M_GC;CERCO_GC
at-sea;IEO_P1_S_CN_GNS;VOLANTA_CN
at-sea;IEO_P1_S_CN_GNS;RASCO_CN
at-sea;IEO_P1_S_S7_OTB;RAPANTER_AC
at-sea;IEO_P1_S_CN_TB;BACA_CN
at-sea;IEO_P1_S_CN_TB;JURELERA_CN
at-sea;IEO_P1_S_CN_TB;PAREJA_CN
at-sea;IEO_P1_S_GC_PS;CERCO_GC
at-sea;IEO_P1_S_GC_OTB;BACA_GC
